,Course_Name,Course_Description,Prerequisites
0,GSS 20. Introduction to Global South Studies (4),"This introductory course examines historical and theoretical debates on the Global South. Especially important are socioeconomic, political, as well as cultural processes, as they are key factors to understanding the Global South across the globe.",
1,GSS 21-22-23-24-25-26. Literatures of the Global South (4-4-4-4-4-4),"An introduction to the cultures of various regions of the Global South through close reading of selected literary texts. GSS 21 focuses on African literature, GSS 22 deals with Latin American literature, GSS 23 examines Chinese literature, GSS 24 examines Caribbean literature, GSS 25 focuses on Middle Eastern literature, and GSS 26 treats literature of the Indian Subcontinent. Topics will vary each quarter. (F,W,S)",
2,GSS 132. Literature and Global South Societies (4),"This course will investigate novelistic and dramatic treatments of European society in the era of nineteenth-century imperialism, Global South societies under the impact of colonialism, and the position of national minorities inside the United States to the present day. Attention will center on the interplay between the aesthetic merits and social-historical-philosophical content of the works read.",
3,GSS 190. Undergraduate Seminars (4),"Seminars will be organized on the basis of topics with readings, discussions, and papers. Specific subjects to be covered will change each quarter depending on particular interest of instructors or students. May be repeated for credit.",
4,GSS 197. Fieldwork (4),"In an attempt to explore and study some unique processes and aspects of community life, students will engage in research in field settings. Topics to be researched may vary, but in each case the course will provide skills for carrying out these studies.",
5,GSS 198. Directed Group Studies (2 or 4),"Directed group study on a topic or in a field not included in the regular department curriculum, by special arrangement with a faculty member. ", upper-division standing.
6,GSS 199. Independent Study (2 or 4),"Tutorial, individual guided reading and research projects (to be arranged between student and instructor) in an area not normally covered in courses currently being offered in the department. (P/NP grades only.) "," upper-division standing and consent of instructor. (F,W,S)"
0,CSE 3. Fluency in Information Technology (4),Introduces the concepts and skills necessary to effectively use information technology. Includes basic concepts and some practical skills with computer and networks. , none.
1,CSE 4GS. Mathematical Beauty in Rome (4),"Exploration of topics in mathematics and engineering as they relate to classical architecture in Rome, Italy. In depth geometrical analysis and computer modeling of basic structures (arches, vaults, domes), and on-site studies of the Colosseum, Pantheon, Roman Forum, and St. Peter’s Basilica. "," MATH 10A or MATH 20A; department approval, and corequisite of CSE 6GS."
2,CSE 6GS. Mathematical Beauty in Rome Lab (4),"Companion course to CSE 4GS where theory is applied and lab experiments are carried out “in the field” in Rome, Italy. For final projects, students will select a complex structure (e.g., the Colosseum, the Pantheon, St. Peter’s, etc.) to analyze and model, in detail, using computer-based tools. "," MATH 10A or MATH 20A; department approval, and corequisite of CSE 4GS."
3,CSE 8A. Introduction to Programming and Computational Problem-Solving I (4),"Introductory course for students interested in computer science and programming. Basics of programming including variables, conditionals, loops, functions/methods. Structured data storage such as arrays/lists and dictionaries, including data mutation. Hands-on experience with designing, writing, hand-tracing, compiling or interpreting, executing, testing, and debugging programs. Students solve relevant computational problems using a high-level programming language. CSE 8A is part of a two-course sequence (CSE 8A-B) that is equivalent to CSE 11. Students should take CSE 8B to complete the CSE 8A-B track. Students who have taken CSE 8B or CSE 11 may not take or receive credit for CSE 8A. Students may receive credit for one of the following: COGS 18, CSE 8A, or CSE 6R. Recommended preparation: No prior programming experience is assumed, but comfort using computers is helpful. Students should consult the “CSE Course Placement Advice” web page for assistance in choosing which CSE course to take first. ", restricted to undergraduates. Graduate students will be allowed as space permits.
4,CSE 8B. Introduction to Programming and Computational Problem-Solving II (4),"Introductory programming using an object-oriented approach with the Java programming language. Builds on basic programming constructs introduced in CSE 8A to introduce class design and use, interfaces, basic class hierarchies, recursion, event-based programming, error reporting with exceptions, and file I/O. Basics of command-line navigation for file management and running programs. Development, testing, and debugging of more complex programs. CSE 8B is part of a two-course sequence (CSE 8A-B) that is equivalent to CSE 11. No credit offered for CSE 8B if CSE 11 taken previously. Students may not receive credit for CSE 8B and CSE 11. Students should consult the “CSE Course Placement Advice” web page for assistance in choosing which CSE course to take first ", CSE 8A; restricted to undergraduates. Graduate students will be allowed as space permits.
5,CSE 11. Introduction to Programming and Computational Problem-Solving: Accelerated Pace (4),"Accelerated introductory programming including an object-oriented approach. Covers basic programming topics from CSE 8A including variables, conditionals, loops, functions/methods, structured data storage, and mutation. Also covers topics from CSE 8B including the Java programming language, class design, interfaces, basic class hierarchies, recursion, event-based programming, and file I/O. Basics of command-line navigation for file management and running programs. Zero units of credit offered for CSE 11 if CSE 8B taken previously or concurrently. Recommended preparation: Significant prior programming experience (for example, high school AP CSA). Students should consult the “CSE Course Placement Advice” web page for assistance in choosing a first CSE course. ", restricted to undergraduates. Graduate students will be allowed as space permits.
6,CSE 12. Basic Data Structures and Object-Oriented Design (4),"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections. "," CSE 8B or CSE 11, and concurrent enrollment with CSE 15L; restricted to undergraduates. Graduate students will be allowed as space permits."
7,CSE 15L. Software Tools and Techniques Laboratory (2),"Hands-on exploration of software development tools and techniques. Investigation of the scientific process as applied to software development and debugging. Emphasis is on weekly hands-on laboratory experiences, development of laboratory notebooking techniques as applied to software design. "," CSE 8B or CSE 11, and concurrent enrollment with CSE 12; restricted to undergraduates. Graduate students will be allowed as space permits."
8,CSE 20. Discrete Mathematics (4),"Basic discrete mathematical structures: sets, relations, functions, sequences, equivalence relations, partial orders, and number systems. Methods of reasoning and proofs: prepositional logic, predicate logic, induction, recursion, and pigeonhole principle. Infinite sets and diagonalization. Basic counting techniques; permutation and combinations. Applications will be given to digital logic design, elementary number theory, design of programs, and proofs of program correctness. Students who have completed MATH 109 may not receive credit for CSE 20. Credit not offered for both MATH 15A and CSE 20. Equivalent to MATH 15A. ", COGS 7 or CSE 8B or CSE 11. Prerequisite courses must have been completed with a grade of C– or better; restricted to undergraduates. Graduate students will be allowed as space permits.
9,CSE 21. Mathematics for Algorithms and Systems (4),"This course will provide an introduction to the discrete mathematical tools needed to analyze algorithms and systems. Enumerative combinatorics: basic counting principles, inclusion-exclusion, and generating functions. Matrix notation. Applied discrete probability. Finite automata. ", CSE 20 or MATH 15A or MATH 31CH; restricted to undergraduates. Graduate students will be allowed as space permits.
10,CSE 30. Computer Organization and Systems Programming (4),Introduction to organization of modern digital computers—understanding the various components of a computer and their interrelationships. Study of a specific architecture/machine with emphasis on systems programming in C and Assembly languages in a UNIX environment. , CSE 12 and CSE 15L; restricted to undergraduates. Graduate students will be allowed as space permits.
11,CSE 42. Building and Programming Electronic Devices (2),"This course allows students to use what they learned in introductory programming courses to make things happen in the real world. Working in teams, students will first learn to program Arduino-based devices. Teams of students will design a custom device and program it to do their bidding. This course is targeted to first-year students and sophomores in engineering and science disciplines who want to practice applying what they have learned in a programming class and to have the chance to program things other than computers. Program or materials fees may apply. ", restricted to first-year and sophomore students; instructor approval required.
